,image_score_correct_score,image_score_incorrect_score,no_image_correct_score,no_image_incorrect_score,image_correct,no_image_correct,probability_increase
0,0.00048828125,0.000536480686695279,0.0015527950310559005,0.0017006802721088435,False,False,1.0
1,0.000536480686695279,0.0005530973451327434,0.0018115942028985507,0.00211864406779661,False,False,20.125
2,0.0002962085308056872,0.00017959770114942528,0.0014124293785310734,0.001,True,True,54.5
3,0.0006067961165048543,0.00039308176100628933,0.0012077294685990338,0.0011363636363636363,True,True,2976.0
4,0.0005707762557077625,0.0005186721991701245,0.00205761316872428,0.0018656716417910447,True,True,0.3671875
5,0.0006476683937823834,0.00039308176100628933,0.0012437810945273632,0.0011013215859030838,True,True,8096.0
6,0.0005530973451327434,0.00045955882352941176,0.0017605633802816902,0.0016025641025641025,True,True,54.5
7,0.0011363636363636363,0.00078125,0.0011363636363636363,0.001,True,True,404.0
8,0.00038109756097560977,0.0003156565656565657,0.0009689922480620155,0.001288659793814433,True,False,22016.0
9,0.00039308176100628933,0.0003156565656565657,0.00078125,0.0011013215859030838,True,False,162816.0
10,0.0009689922480620155,0.000628140703517588,0.0011363636363636363,0.001,True,True,1096.0
11,0.0005530973451327434,0.0002962085308056872,0.001366120218579235,0.001,True,True,148.0
12,0.0006476683937823834,0.0006868131868131869,0.0008561643835616438,0.0008561643835616438,False,False,0.1357421875
13,0.0008278145695364238,0.0006684491978609625,0.00205761316872428,0.0017006802721088435,True,True,2.71875
14,0.00048828125,0.0003360215053763441,0.0014534883720930232,0.0011013215859030838,True,True,20.125
15,0.0004166666666666667,0.00039308176100628933,0.0011013215859030838,0.0009124087591240876,True,True,0.1357421875
16,0.0005530973451327434,0.0006067961165048543,0.0008561643835616438,0.0008561643835616438,False,False,0.0498046875
17,0.0028089887640449437,0.0028089887640449437,0.002183406113537118,0.00205761316872428,False,True,0.1357421875
18,0.0006067961165048543,0.0004310344827586207,0.0011363636363636363,0.0006868131868131869,True,True,0.018310546875
19,0.0026455026455026454,0.0028089887640449437,0.00199203187250996,0.00211864406779661,False,False,1.0
20,0.002325581395348837,0.00199203187250996,0.0016556291390728477,0.0017605633802816902,True,False,404.0
21,0.001288659793814433,0.0014124293785310734,0.001366120218579235,0.0015060240963855422,False,False,0.3671875
22,0.0014534883720930232,0.0012437810945273632,0.0014534883720930232,0.0014124293785310734,True,True,20.125
23,0.00211864406779661,0.0022522522522522522,0.0018115942028985507,0.0017006802721088435,False,True,0.0498046875
24,0.0005186721991701245,0.0004166666666666667,0.0017605633802816902,0.0015527950310559005,True,True,1.0
25,0.00045955882352941176,0.0004310344827586207,0.0015060240963855422,0.0017605633802816902,True,False,54.5
26,0.00014880952380952382,0.00016891891891891893,0.000628140703517588,0.0008278145695364238,False,False,54.5
27,0.0006067961165048543,0.00039308176100628933,0.0008064516129032258,0.0008561643835616438,True,False,59904.0
28,0.00021701388888888888,0.00014880952380952382,0.0008064516129032258,0.0008561643835616438,True,False,8096.0
29,0.0004310344827586207,0.0003156565656565657,0.0014534883720930232,0.0011013215859030838,True,True,1.0
30,0.00020292207792207794,0.00013130252100840336,0.0007309941520467836,0.0005530973451327434,True,True,7.375
31,0.00021701388888888888,0.00014880952380952382,0.0008064516129032258,0.0008561643835616438,True,False,8096.0
32,0.0003676470588235294,0.00021701388888888888,0.0009124087591240876,0.001,True,False,1204224.0
33,0.0014534883720930232,0.0013297872340425532,0.0018115942028985507,0.0017605633802816902,True,True,2.71875
34,0.001288659793814433,0.0012437810945273632,0.0017605633802816902,0.0018115942028985507,True,False,7.375
35,0.001366120218579235,0.001288659793814433,0.001366120218579235,0.00199203187250996,True,False,22016.0
36,0.0009398496240601503,0.001,0.0017006802721088435,0.0016556291390728477,False,True,0.3671875
37,0.0009124087591240876,0.0009689922480620155,0.0016025641025641025,0.0016556291390728477,False,False,0.3671875
